a [a:]
pennskrif [‘pɛnskrɪf]
pennskrifer [pɛn’skrifɛr]
perghenoges [ˌpɛrhɛ’nɔgɛs]
pennskrifer [pɛn’skrifɛr]
perghenogeth [ˌpɛrhɛ’nɔgɛθ]
pennskrifores [ˌpɛnskrɪ’fɔrɛs]
perghenogyl [ˌpɛrhɛ’nɔgɪl]
penn-sogh [ˌpɛnˑ’sɔ:x]
perghenores [ˌpɛrhɛ’nɔrɛs]
pennvenyster [ˌpɛnvɛ’nɪstɛr]
pergherin [pɛr’hɛrɪn]
pennvenystres [ˌpɛnvɛ’nɪstrɛs]
pergherines [ˌpɛrhɛ’rinɛs]
pergherinses [ˌpɛrhɛ’rɪnzɛs]
pennyn [‘pɛn:ɪn]
periodek [pɛri’ɔdɛk]
pensyon [‘pɛnsjɔn]
perl [pɛrl]
perm [pɛrm]
pensyonydh [pɛn’sjɔnɪð]
permya [‘pɛrmja]
pensyonydhes [ˌpɛnsjɔ’nɪðɛs]
perpetual [pɛr’pɛtyal]
persekutya [ˌpɛrsɛ’ky:tja]
persekutyans [ˌpɛrsɛ’ky:tjans]
persil [‘pɛrsɪl]
person [‘pɛrsɔn]
pesi [‘pɛzi]
personel [pɛr’sɔnɛl]
personoleth [ˌpɛrsɔ’nɔlɛθ]
perswadus [pɛr’swa:dʏs]
perswadya [pɛr’swa:dja]
perswadyans [pɛr’swa:djans]
perth [pɛrθ]
perthi [‘pɛrθi]
perthyans [‘pɛrθjans]
peskweyth [‘pɛskwɛɪθ]
perthyer [‘pɛrθjɛr]
peskytter [ˌpɛskə’tɛr]
perthygel [pɛr’θɪgɛl]
peswar [‘pɛzwar]
peswardhegves [ˌpɛzwar’ðɛgvɛs]
perthynek [pɛr’θɪnɛk]
perthynyans [pɛr’θɪnjans]
peswardhek [pɛz’warðɛk]
perthyores [pɛrθ’jɔrɛs]
peswarkorn [pɛz’warkɔrn]
peruken [pɛ’rʏkɛn]
peswarpaw [pɛz’warpaʊ]
pervedh [‘pɛrvɛð]
peswartenwennel [pɛzˌwartɛn’wɛn:ɛl]
pervedhek [pɛ’rvɛðɛk]
peswartrosek [ˌpɛzwar’trɤzɛk]
peryl [‘pɛrɪl]
peswar-ugens [ˌpɛzwar’ʏgɛns]
peryllus [pɛ’rɪl:ʏs]
peswora [pɛz’wɔra]
peryllya [pɛ’rɪlˑja]
pesya [‘pɛzja]
peryllys [pɛ’rɪl:ɪs]
pesyans [‘pɛzjans]
pilya [‘pɪlja]
petal [‘pɛtal]
pilyek [‘pɪljɛk]
pin [pi:n]
pinaval [pɪn’aval]
pinta [‘pi:nta]
petisyon [pɛ’tɪsjɔn]
pis [pi:s]
pisa [‘piza]
petrol [‘pɛtrɔl]
pisas [‘pizas]
petrolva [pɛ’trɔlva]
pistyl [‘pɪstɪl]
pistylla [pɪs’tɪl:a]
peub [pø:b]
pisva [‘pɪzva]
peul [pø:l]
pita [‘pita]
pitethus [pɪ’tɛθʏs]
peulge [‘pœlge]
pith [pi:θ]
peuns [pœns]
pithneth [‘pɪθnɛθ]
pitsa [‘pitsa]
peurell [‘pœrɛl]
piw [piˑʊ]
peuri [‘pœri]
pizza [‘pitsa]
peurva [‘pœrva]
pla [pla:]
pewas [‘pɛwas]
piano [pi’anɔ]
pianydh [pi’anɪð]
plag [pla:g]
plagus [‘plagʏs]
pianydhes [ˌpiˑa’nɪðɛs]
plagya [‘plagja]
pib [pi:b]
plagys [‘plagɪs]
planet [‘planɛt]
piba [‘piba]
pibell [‘pibɛl]
planetva [pla’nɛtva]
piben [‘pibɛn]
plankton [‘plaŋktɔn]
pies [‘pi:ɛs]
piga [‘piga]
plans [plans]
pigell [‘pigɛl]
plansa [‘planza]
pigorn [‘pigɔrn]
pigornek [pɪ’gɔrnɛk]
plas [pla:s]
piktour [‘pɪktʊr]
plasen [‘plazɛn]
pil [pi:l]
pildra [‘pɪldra]
plastek [‘plastɛk]
pilen [‘pilɛn]
plaster [‘plastɛr]
plastra [‘plastra]
pilennek [pɪ’lɛn:ɛk]
plat [pla:t]
plomm [plɔm:]
platas [‘pla:tas]
plommer [‘plɔm:ɛr]
platinom [‘platɪnɔm]
plommwedhek [plɔm:’wɛðɛk]
plattya [‘platja]
plomores [plɔ’mɔrɛs]
playn [plaɪn]
plontyans [‘plɔntjans]
playnya [‘plaɪnja]
plos [plɔ:z]
pledya [‘plɛ:dja]
plott [plɔt]
pledyans [‘plɛ:djans]
plottya [‘plɔtja]
pleg [plɛ:g]
ploum [plu:m]
plegadow [plɛ’gadɔʊ]
Plouton [‘plu:tɔn]
plowghya [‘plɔʊxja]
plural [‘ply:ral]
pluralita [plʏ’ralɪta]
plustren [‘plʏstrɛn]
plegyans [‘plɛgjans]
pluv [ply:v]
pluvek [‘plʏvɛk]
ma [‘plɛ:ma]
plen [plɛ:n]
pluven [‘plʏvɛn]
plenli [‘plɛ:nli]
plenta [‘plɛnta]
plenteth [‘plɛntɛθ]
pluw [plyˑʊ]
plentyades [plɛnt’jadɛs]
pluwek [‘plʏwɛk]
plentyas [‘plɛntjas]
pluwoges [plʏ’wɔgɛs]
plesont [‘plɛzɔnt]
plynch [plɪnʧ]
plynchya [‘plɪnʧja]
plesour [‘plɛzʊr]
po [pɔ]
plesya [‘plɛ:zja]
plesys [‘plɛ:zɪs]
pobas [‘pɔbas]
th [plɛ:θ]
pobel [‘pɔbəl]
plisk [pli:sk]
pobla [‘pɔbla]
poblans [‘pɔblans]
plit [pli:t]
poblek [‘pɔblɛk]
poblikan [‘pɤblɪkan]
pochya [‘pɔ:ʧja]
pocket [‘pɔkɛt]
Polonek [pɔ’lɔnɛk]
pockya [‘pɔkja]
polonek [pɔ’lɔnɛk]
poder [‘pɔdɛr]
Poloni [pɔ’lɔni]
podik [‘pɔdɪk]
pols [pɔlz]
podkast [‘pɔdkast]
polsa [‘pɔlza]
polsya [‘pɔlsja]
polta [‘pɔlta]
podrek [‘pɔdrɛk]
polter [‘pɔltɛr]
podyn [‘pɔdɪn]
poltra [‘pɔltra]
pok [pɔ:k]
pomp [pɔmp]
poken [pɔ’kɛ:n]
pompell [‘pɔmpɛl]
pokya [‘pɔ:kja]
Polak [pɔ’lakjɔn]
pompik [‘pɔmpɪg]
pompya [‘pɔmpja]
Polakes [pɔ’lakɛs]
pompyon [‘pɔmpjɔn]
polar [‘pɔlar]
pomster [‘pɔmstɛr]
polat [‘pɔlat]
polici [‘pɔlɪsi]
pon [pɔ:n]
politeger [ˌpɔlɪ’tɛgɛr]
ponn [pɔn:]
politegieth [pɔˌlɪtɛ’gi:ɛθ]
ponnek [‘pɔn:ɛk]
ponsfordh [‘pɔnsfɔrð]
ponvos [‘pɔnvɔs]
politegores [pɔˌlɪtɛ’gɔrɛs]
ponvosek [pɔn’vɔzɛk]
politek [pɔ’lɪtɛk]
ponya [‘pɤnja]
ponyans [‘pɤnjans]
poor [po:r]
poos [po:z]
poosa [‘po:za]
poos-lev [ˌpoˑz’lɛ:v]
pooth [po:θ]
popa [‘pɔpa]
pollek [‘pɤl:ɛk]
popet [‘pɔpɛt]
pollen [‘pɔl:ɛn]
popti [‘pɔpti]
portrayans [pɔr’trajans]
por [pɔ:r]
Portyngal [‘pɔrtɪngal]
Portyngalek [ˌpɔrtɪn’galɛk]
poran [pɔ’ra:n]
portyngalek [ˌpɔrtɪn’galɛk]
bugel [pɔr’bʏgɛl]
Portyngalyades [pɔrˌtɪngal’jadɛs]
porek [‘pɔrɛk]
Portyngalyas [ˌpɔrtɪn’galjas]
porghel [‘pɔrhɛl]
porv [‘pɔrv]
porghellik [pɔr’hɛl:ɪk]
porven [‘pɔrvɛn]
pornografek [ˌpɔrnɔ’grafɛk]
posa [‘pɤza]
pornografieth [pɔrˌnɔgra’fi:ɛθ]
posedhek [pɤ’zɛðɛk]
posek [‘pɤzɛk]
positiv [‘pɔzɪtɪv]
porpos [‘pɔrpɔs]
posleva [pɤz’lɛva]
porposya [pɔr’pɔzja]
posna [‘pɔzna]
posnys [‘pɔznɪs]
porres [pə’rɛ:z]
possessyon [pɔ’sɛsjɔn]
pors [pɔrz]
possybyl [pɔ’sɪbɪl]
porsek [‘pɔrsɛk]
possybylta [ˌpɔsɪ’bɪlta]
porser [‘pɔrsɛr]
porsores [pɔr’sɔrɛs]
portal [‘pɔrtal]
porth [pɔrθ]
poster [‘pɤstɛr]
postya [‘pɔ:stja]
pot [pɔ:t]
porther [‘pɔrθɛr]
potencyal [pɔ’tɛnsjal]
portheres [pɔr’θɛrɛs]
potha [‘pɤθa]
pott [pɔt]
porthores [pɔr’θɔrɛs]
porthorji [pɔr’θɔrʤi]
pottya [‘pɔtja]
potya [‘pɔ:tja]
porthva [‘pɔrθfa]
pow [pɔˑʊ]
precyous [‘prɛsjʊs]
preder [‘prɛdɛr]
prederi [prɛ’dɛri]
powdir [‘pɔʊdɪr]
prederus [prɛ’dɛrʏs]
powek [‘pɔwɛk]
power [‘pɔwɛr]
powes [‘pɔwɛs]
prederyans [prɛ’dɛrjans]
prederys [prɛ’dɛrɪs]
predheger [prɛ’ðɛgɛr]
powesva [pɔ’wɛzva]
pows [pɔʊz]
predheges [prɛ’ðɛgɛs]
predhegores [ˌprɛðɛ’gɔrɛs]
poynt [pɔɪnt]
predhek [‘prɛðɛk]
poyntya [‘pɔɪntja]
poyntyans [‘pɔɪntjans]
poyson [‘pɔɪzɔn]
preferya [prɛ’fɛrja]
pregoth [‘prɛgɔθ]
praga [‘praga]
pregowther [prɛ’gɔʊθɛr]
pragmatek [prag’matɛk]
pregowthores [ˌprɛgɔʊ’θɔrɛs]
pragmatieth [ˌpragma’ti:ɛθ]
pragmatydh [prag’matɪð]
prena [‘prɛna]
pragmatydhes [ˌpragma’tɪðɛs]
praktis [‘praktɪs]
praktisya [prak’tɪsja]
prenas [‘prɛnas]
pramm [pram:]
prenassa [prɛ’nasa]
pras [pra:z]
prenasser [prɛ’nasɛr]
pratt [prat]
prays [praɪz]
prenassores [ˌprɛna’sɔrɛs]
praysya [‘praɪzja]
prener [‘prɛnɛr]
prenn [prɛn:]
pries [‘pri:ɛs]
prenna [‘prɛn:a]
prileghen [prɪ’lɛhɛn]
prennek [‘prɛn:ɛk]
priosel [pri’ɔzɛl]
prennweyth [‘prɛnwɛɪθ]
priosoleth [ˌpriɔ’zɔlɛθ]
prenores [prɛ’nɔrɛs]
pris [pri:s]
prenyades [prɛn’jadɛs]
prism [prɪzm]
prenyas [‘prɛnjas]
prisner [‘prɪznɛr]
prisnores [prɪz’nɔrɛs]
prison [‘prɪzɔn]
presens [‘prɛzɛns]
prisonya [prɪ’zɔnja]
present [‘prɛzənt]
presentya [prɛ’zɛntja]
prisonyans [prɪ’zɔnjans]
presep [‘prɛzɛp]
prisya [‘pri:zja]
presont [‘prɛzɔnt]
privedh [‘prɪvɛð]
prest [prɛ:st]
presumya [prɛ’zy:mja]
privedhyow [prɪ’vɛðjɔʊ]
privetter [prɪ’vɛtɛr]
priweyth [‘prɪwɛɪθ]
priweythor [prɪ’wɛɪθɔr]
preventya [prɛ’vɛntja]
priweythores [ˌprɪwɛɪ’θɔrɛs]
previ [‘prɛvi]
priweythva [prɪ’wɛɪθfa]
prevya [‘prɛvja]
prevyans [‘prɛvjans]
problem [‘prɔblɛm]
problemek [prɔb’lɛmɛk]
preydh [prɛɪð]
procedya [prɔ’sɛ:dja]
preydha [‘prɛɪða]
process [‘prɔsɛs]
pri [pri:]
processya [prɔ’sɛsja]
prierin [pri’ɛrɪn]
processyon [prɔ’sɛsjɔn]
provia [prɔ’vi:a]
professor [prɔ’fɛsɔr]
provians [prɔ’vi:ans]
professores [ˌprɔfɛ’sɔrɛs]
provier [prɔ’vi:ɛr]
profet [‘prɔfɛt]
proviores [ˌprɔvi’ɔrɛs]
profil [‘prɔfɪl]
profos [‘prɔfɤs]
provokya [prɔ’vɔ:kja]
profya [‘prɔfja]
provyns [‘prɔvɪns]
prow [prɔˑʊ]
profyades [prɔf’jadɛs]
prowus [‘prɔwʏs]
profyans [‘prɔfjans]
pryck [prɪk]
prydydh [‘prɪdɪð]
profyas [‘prɔfjas]
prydydhes [prɪ’dɪðɛs]
prokurya [prɔ’ky:rja]
prydydhieth [ˌprɪdɪ’ði:ɛθ]
promys [‘prɔmɪs]
prydydhyek [prɪ’dɪðjɛk]
promysya [prɔ’mɪsja]
prynceth [‘prɪnsɛθ]
prononcya [prɔ’nɔnsja]
pryncipata [ˌprɪnsɪ’pata]
pronter [‘prɔntɛr]
pryntya [‘prɪntja]
pronterji [prɔn’tɛrʤi]
pryntyans [‘prɪntjans]
prosperya [prɔ’spɛrja]
pryntyer [‘prɪntjɛr]
prosternya [prɔs’tɛrnja]
Protestant [‘prɔtɛstant]
pryntyores [prɪnt’jɔrɛs]
protestant [‘prɔtɛstant]
prys [prɪ:z]
Protestantes [ˌprɔtɛs’tantɛs]
protestya [prɔ’tɛstja]
protestyans [prɔ’tɛstjans]
prysk [prɪ:sk]
protestyer [prɔ’tɛstjɛr]
prysweyth [‘prɪzwɛɪθ]
protestyores [ˌprɔtɛst’jɔrɛs]
pryv [prɪ:v]
protokol [‘prɔtɔkɔl]
proton [‘prɔ:tɔn]
pryvylej [‘prɪvɪlɛʤ]
prout [pru:t]
prov [prɔ:v]
pub [pəb]
provadow [prɔ’vadɔʊ]
pych [pɪ:ʧ]
pycher [‘pɪʧɛr]
pubdedhyek [pəb’dɛðjɛk]
pychya [‘pɪʧja]
puber [‘pʏbɛr]
pychyans [‘pɪʧjans]
pubonan [pəb’ɔnan]
pyckel [‘pɪkɛl]
pyckla [‘pɪkla]
pubonen [pəb’ɔnən]
pyffyer [‘pɪfjɛr]
prys [ˌpəp’prɪ:z]
pyg [pɪ:g]
pubra [‘pʏbra]
pubren [‘pʏbrɛn]
pygemmys [pɪ’gɛm:ɪs]
punshya [‘pʏnʃja]
puptra [pəp’tra:]
pyjama [pɪ’ʤama]
pur [py:r]
pyksel [‘pɪksɛl]
pylla [‘pɪl:a]
purhe [ˌpʏr’hɛ:]
pyllar [‘pɪl:ar]
purheans [pʏr’hɛ:ans]
pyment [‘pɪmɛnt]
purieth [pʏ’ri:ɛθ]
pymp [pɪmp]
Puritan [‘py:rɪtan]
pympbys [‘pɪmpbɪz]
Puritanes [ˌpyˑrɪ’tanɛs]
pympes [‘pɪmpɛs]
pymthegves [pɪm’θɛgves]
Puritanieth [pʏˌrɪta’ni:ɛθ]
pymthek [‘pɪmθɛk]
purpur [‘pʏrpʏr]
purra [‘pʏr:a]
pursewya [pər’sɛʊja]
pynakyl [‘pɪnakɪl]
pursewyans [pər’sɛʊjans]
pyncel [‘pɪnsɛl]
purva [‘pʏrva]
purydh [‘pʏrɪð]
purydhes [pʏ’rɪðɛs]
pyncer [‘pɪnsɛr]
pusketti [pʏs’kɛti]
pynchya [‘pɪnʧja]
pyneyl [pɪ’nɛɪl]
pusorn [‘pʏzɔrn]
pynn [pɪn:]
pusornas [pʏ’zɔrnas]
py [pi]
pynna [‘pɪn:a]
pyramid [‘pɪramɪd]
radar [‘ra:dar]
pyramidek [ˌpɪra’midɛk]
radikal [‘radɪkal]
pys [pɪ:z]
pysk [pɪ:sk]
pyskador [pɪs’kadɔr]
radyo [‘radjɔ]
pyskadores [ˌpɪska’dɔrɛs]
radyologieth [radˌjɔlɔ’gi:ɛθ]
pyskessa [pɪs’kɛsa]
radyologiethel [ˌradjɔˌlɔgi’ɛθɛl]
pysklyn [‘pɪsklɪn]
radyologydh [ˌradjɔ’lɔgɪð]
pysknow [‘pɪsknɔʊ]
radyologydhes [radˌjɔlɔ’gɪðɛs]
pyskva [‘pɪskva]
radyoweythres [ˌradjɔ’wɛɪθrɛs]
pyst [pɪ:st]
radyoweythresek [radˌjɔwɛɪθ’rɛzɛk]
pystiga [pɪs’tɪga]
pystik [‘pɪstɪk]
raff [raf]
pystol [‘pɪstɔl]
rag [rag]
pystri [‘pɪstri]
pystrier [pɪst’ri:ɛr]
pystriores [ˌpɪstri’ɔrɛs]
pyth [pɪ:θ]
rag- [rag-]
ragavon [rag’avɔn]
pythek [‘pɪθɛk]
pytt [pɪt]
ragbreder [rag’brɛdɛr]
pywa [‘pɪwa]
rach [ra:ʧ]
ragbren [‘ragbrɛn]
racka [‘raka]
ragbrena [rag’brɛna]
racket [‘rakɛt]
ragbrener [rag’brɛnɛr]
rann [ran:]
ragbrenores [ˌragbrɛ’nɔrɛs]
ragdas [‘ragdas]
ragdres [‘ragdrɛs]
ranna [‘ran:a]
ragdresa [rag’drɛsa]
rannans [‘ran:ans]
rager [‘ragɛr]
ranndir [‘randɪr]
ragerghi [rag’ɛrhi]
ragerghys [rag’ɛrhɪs]
ranndirek [ran’dɪrɛk]
ranndiryel [ran’dɪrjɛl]
ragilow [ra’gɪlɔʊ]
ranndra [‘randra]
raglavar [rag’lavar]
ranngemeryans [ˌraŋgɛ’mɛrjans]
raglev [‘raglɛv]
ragleva [rag’lɛva]
ragober [rag’ɔbɛr]
rannji [‘ranʤi]
ragresegydh [ˌragrɛ’zɛgɪð]
rannskrif [‘ranskrɪf]
ragresegydhes [ragˌrɛzɛ’gɪðɛs]
rannvro [‘ran:vrɔ]
ragresek [rag’rɛzɛk]
rannvroek [ran’vrɔ:ɛk]
ragresor [ra’grɛzɔr]
rannyeth [‘ranjɛθ]
ragresores [ˌragrɛ’zɔrɛs]
ras [ra:z]
ragsel [‘ragzɛl]
rasek [‘razɛk]
ragskrif [‘ragskrɪf]
rask [ra:sk]
ragvreus [‘ragvrœs]
raska [‘raska]
rastel [‘rastɛl]
ragvreusek [rag’vrœzɛk]
rastella [ras’tɛl:a]
rath [ra:θ]
ragwir [‘ragwɪr]
ratha [‘raθa]
rathella [ra’θɛl:a]
rahaya [ra’haja]
ravna [‘ravna]
rajek [‘raʤɛk]
ravnans [‘ravnans]
rajell [‘raʤɛl]
ravner [‘ravnɛr]
rakan [‘rakan]
rakhanow [rak’hanɔʊ]
ravnores [rav’nɔrɛs]
ralli [‘ral:i]
ray [raˑɪ]
raylya [‘raɪlja]
re [rɛ:]
rejoysya [rɛ’ʤɔɪsja]
reken [‘rɛkɛn]
rekenva [rɛ’kɛnva]
rekna [‘rɛkna]
reknans [‘rɛknans]
reknell [‘rɛknɛl]
rekoncilya [ˌrɛkɔn’siˑlja]
rekoncilyans [ˌrɛkɔn’siˑljans]
rekord [‘rɛkɔrd]
rekorda [rɛ’kɔrda]
rebel [‘rɛbɛl]
rekordya [rɛ’kɔrdja]
rebellya [rɛ’bɛl:ja]
rekwirya [rɛ’kwi:rja]
rebellyans [rɛ’bɛl:jans]
relyjyon [rɛ’lɪʤjɔn]
receva [rɛ’sɛ:va]
recevans [rɛ’sɛvans]
remaynya [rɛ’maɪnja]
remedi [‘rɛmɛdi]
reden [‘rɛdɛn]
redik [‘rɛdɪk]
remembra [rɛ’mɛmbra]
redya [‘rɛ:dja]
remenant [‘rɛmɛnant]
redyans [‘rɛdjans]
redyer [‘rɛ:djɛr]
remova [rɛ’mɔ:va]
redyores [rɛd’jɔrɛs]
refusya [rɛ’fy:zja]
gan [ˌrɛgan]
rendra [‘rɛndra]
gas [ˌrɛgas]
renk [rɛŋk]
renka [‘rɛŋka]
renkas [‘rɛŋkas]
renki [‘rɛŋki]
renkyades [rɛŋk’jadɛs]
resonus [rɛ’zɔnʏs]
resores [rɛ’zɔrɛs]
renkyas [‘rɛnkjas]
resort [rɛ’zɔrt]
rennyas [‘rɛnˑjas]
rent [rɛnt]
rester [‘rɛstɛr]
rentya [‘rɛntja]
repentya [rɛ’pɛntja]
restorita [rɛ’stɔrɪta]
repoblek [rɛ’pɔblɛk]
reportya [rɛ’pɔrtja]
restra [‘rɛstra]
representya [ˌrɛprɛ’zɛntja]
restrans [‘rɛstrans]
restren [‘rɛstrɛn]
restrenna [rɛs’trɛn:a]
restrenva [rɛs’trɛnva]
reswisk [‘rɛzwɪsk]
th [rəθ]
reudh [rø:ð]
reudhi [‘rœði]
resayt [rɛ’saɪt]
reun [rø:n]
resegva [rɛ’zɛgva]
rev [rɛ:v]
resek [‘rɛzɛk]
revedh [‘rɛvɛð]
revelacyon [ˌrɛvɛ’lasjɔn]
resell [‘rɛzɛl]
reverthi [rɛ’vɛrθi]
reser [‘rɛzɛr]
revrond [‘rɛvrɔnd]
resin [‘rɛzɪn]
revrons [‘rɛvrɔns]
reski [‘rɛski]
resna [‘rɛzna]
revya [‘rɛvja]
resnadow [rɛz’nadɔʊ]
resnans [‘rɛznans]
resnel [‘rɛznɛl]
reson [‘rɛ:zɔn]
reward [rɛ’ward]
rewardya [rɛ’wardja]
Rewenys [rɛ’wɛnɪs]
Rewenysek [ˌrɛwɛ’nɪzɛk]
riw [riˑʊ]
riyades [rɪ’jadɛs]
rewenysek [ˌrɛwɛ’nɪzɛk]
riyas [‘rijas]
Rewenysyades [rɛˌwɛnɪz’jadɛs]
ro [rɔ:]
Rewenysyas [ˌrɛwɛ’nɪzjas]
roas [‘rɔ:as]
roasek [rɔ’azɛk]
rewer [‘rɛwɛr]
robbya [‘rɔbja]
rewi [‘rɛwi]
robbyer [‘rɔbjɛr]
rewiva [rɛ’wiva]
rewl [rɛʊl]
robbyores [rɔb’jɔrɛs]
robot [‘rɔbɔt]
rewlya [‘rɛʊlja]
rock [rɔk]
rewlyades [rɛʊl’jadɛs]
rogh [rɔ:x]
rewlyas [‘rɛʊljas]
rewlys [‘rɛʊlɪs]
rol [rɔ:l]
rewys [‘rɛwɪs]
reydh [rɛɪð]
reydhel [‘rɛɪðɛl]
reyn [rɛɪn]
rolas [‘rɔlas]
reynya [‘rɛɪnja]
rolbren [‘rɔlbrɛn]
reyth [rɛɪθ]
rolven [‘rɔlvɛn]
ri [ri:]
rolwedhen [rɔl’wɛðɛn]
Ria [‘ri:a]
rolya [‘rɔlja]
riel [‘ri:ɛl]
Rom [rɔ:m]
rim [ri:m]
rimya [‘ri:mja]
rin [ri:n]
Romani [rɔ’mani]
ris [ri:s]
Romanian [ˌrɔma’ni:an]
Romanianes [rɔˌmani’anɛs]
risen [‘rizɛn]
Romaniek [ˌrɔma’ni:ɛk]
riv [ri:v]
romaniek [ˌrɔma’ni:ɛk]
riva [‘riva]
rivbost [‘rɪvbɔst]
romans [‘rɔmans]
rivell [‘rivɛl]
riven [‘rivɛn]
romansek [rɔ’manzɛk]
routh [ru:θ]
romansogeth [ˌrɔman’zɔgɛθ]
routya [‘ru:tja]
routyell [‘ru:tjɛl]
Romek [‘rɔmɛk]
roweth [‘rɔwɛθ]
romek [‘rɔmɛk]
Romes [‘rɔmɛs]
romm [rɔm:]
rond [rɔnd]
rondenep [rɔnd’ɛnɛp]
ronk [rɔŋk]
ronson [‘rɔnsɔn]
rudh [ry:ð]
ronsona [rɔn’sɔna]
roos [ro:z]
rudhek [‘rʏðɛk]
rudhik [‘rʏðɪk]
rudhvelyn [rʏð’vɛlɪn]
rudhya [‘rʏðja]
rugbi [‘rʏgbi]
rugla [‘rʏgla]
ruglen [‘rʏglɛn]
rosella [rɔ’zɛl:a]
rosellans [rɔ’zɛl:ans]
rumen [‘rʏmɛn]
rosik [‘rɔzɪk]
run [ry:n]
roskis [‘rɔskɪs]
rusk [rʏsk]
ruskek [‘rʏskɛk]
Russek [‘rʏsɛk]
russek [‘rʏsɛk]
Russi [‘rʏsi]
Russian [rʏ’si:an]
rost [rɔ:st]
rostell [‘rɔstɛl]
Russianes [ˌrʏsi’anɛs]
rostella [rɔ’stɛl:a]
rostya [‘rɔ:stja]
rust [ry:st]
rosva [‘rɔzva]
rutya [‘rʏtja]
rutyans [‘rʏtjans]
rosweyth [‘rɤzwɛɪθ]
rutyer [‘rʏtjɛr]
rosya [‘rɤzja]
ruvanes [rʏ’vanɛs]
rosyans [‘rɤzjans]
roth [rɔ:θ]
ruvaneth [rʏ’vanɛθ]
roum [ru:m]
rout [ru:t]
routabaga [ˌruˑta’baga]
ryb [rɪb]
sampel [‘sampɛl]
rych [rɪʧ]
sampla [‘sampla]
rychedh [‘rɪʧɛð]
sand [sand]
rychhe [ˌrɪʧ’hɛ:]
sandal [‘sandal]
rychys [‘rɪʧɪs]
sans [sans]
ryddya [‘rɪdja]
rydh [rɪ:ð]
sansel [‘sanzɛl]
rydhses [‘rɪðzɛs]
sanses [‘sanzɛs]
ryg [rɪ:g]
rypsav [‘rɪpsav]
sansoleth [san’sɔlɛθ]
rys [rɪ:z]
rythhe [ˌrɪθ’hɛ:]
Sarcyn [‘sarsɪn]
ryver [‘rɪvɛr]
sarf [sarf]
s [s]
Sarsyn [‘sarsɪn]
sab [sa:b]
sad [sa:d]
satysfia [ˌsatɪs’fi:a]
satysfians [ˌsatɪs’fi:ans]
Sadorn [‘sadɔrn]
safran [‘safran]
sav [sa:v]
saven [‘savɛn]
saga [‘sa:ga]
savla [‘savla]
sagh [sa:x]
savon [‘savɔn]
savonek [sa’vɔnɛk]
savyour [‘savjʊr]
sagha [‘saha]
sakra [‘sakra]
sakrifia [ˌsakrɪ’fi:a]
sawder [‘saʊdɛr]
sakrifis [‘sakrɪfɪs]
sawgh [saʊx]
sakrifisa [ˌsakrɪ’fi:sa]
salad [‘salad]
sawja [‘saʊʤa]
salami [sa’la:mi]
sawment [‘saʊmɛnt]
sall [sal:]
sawna [‘saʊna]
salla [‘sal:a]
sawor [‘sawɔr]
salm [salm]
salow [‘salɔʊ]
salowder [sa’lɔʊdɛr]
saworen [sa’wɔrɛn]
saluji [sa’lʏʤi]
sawrek [‘saʊrɛk]
salvacyon [sal’vasjɔn]
sawya [‘saʊja]
salvador [sal’vadɔr]
sawyades [saʊ’jadɛs]
selvenel [sɛl’vɛnɛl]
sawyans [‘saʊjans]
selwel [‘sɛlwɛl]
sawyas [‘saʊjas]
selwyans [‘sɛlwjans]
selwyas [‘sɛlwjas]
se [sɛ:]
selya [‘sɛlja]
sebon [‘sɛbɔn]
selyek [‘sɛljɛk]
semlant [‘sɛmlant]
seboni [sɛ’bɔni]
sedh [sɛ:ð]
semli [‘sɛ:mli]
sempel [‘sɛmpɛl]
sedher [‘sɛðɛr]
sempelhe [ˌsɛmpɛl’hɛ:]
Sen [sɛn]
sedhes [‘sɛðɛs]
senedh [‘sɛnɛð]
sedhi [‘sɛði]
senedhek [sɛ’nɛðɛk]
sedhores [sɛ’ðɔrɛs]
seni [‘sɛni]
segha [‘sɛha]
seghans [‘sɛhans]
sens [sɛns]
seghen [‘sɛhɛn]
sensour [‘sɛnzʊr]
separatya [ˌsɛpa’ratja]
seghes [‘sɛhɛs]
ser [sɛ:r]
segi [‘sɛgi]
Serb [sɛrb]
sekerder [sɛ’kɛrdɛr]
Serbek [‘sɛrbɛk]
serbek [‘sɛrbɛk]
Serbes [‘sɛrbɛs]
Serbi [‘sɛrbi]
sekret [‘sɛkrɛt]
seres [‘sɛrɛs]
sekretli [‘sɛkrɛtli]
serpont [‘sɛrpɔnt]
seks [sɛks]
seksi [‘sɛksi]
serra [‘sɛr:a]
sellys [‘sɛl:ɪs]
selsik [‘sɛlzɪk]
selva [‘sɛlva]
selven [‘sɛlvɛn]
serrys [‘sɛr:ɪs]
sevel [‘sɛvɛl]
serth [sɛrθ]
serthals [‘sɛrθals]
servabyl [sɛr’vabɪl]
sevi [‘sɛvi]
servadow [sɛr’vadɔʊ]
sevur [‘sɛvʏr]
servis [‘sɛrvɪs]
sevureth [sɛ’vʏrɛθ]
sewen [‘sɛwɛn]
servya [‘sɛrvja]
sewena [sɛ’wɛna]
servyades [sɛrv’jadɛs]
servyas [‘sɛrvjas]
seweni [sɛ’wɛni]
servyour [‘sɛrvjur]
sewenyans [sɛ’wɛnjans]
seson [‘sɛ:zɔn]
sewt [sɛʊt]
sesya [‘sɛ:zja]
sewya [‘sɛʊja]
